"date","GOOG","JNJ","WMT","META","JPM"
2015-01-30,0.0185018912556789,-0.041905433681813,-0.0107103522310535,-0.0323772710004747,-0.129780825904797
2015-02-27,0.0446756126979462,0.0308323945533073,-0.0123557558766615,0.0403107952602975,0.126884934010736
2015-03-31,-0.018624615253252,-0.0186321631042433,-0.0141309026289095,0.0411549909270001,-0.0114229588696588
2015-04-30,-0.0167604577424304,-0.0139167204437527,-0.0510634321483133,-0.0419607646655267,0.0511797428377696
2015-05-29,-0.00973323887745992,0.0168369249646498,-0.0424249675095602,0.00533218649252132,0.039835539521824
2015-06-30,-0.0217999881046353,-0.0267624191601762,-0.0449710578360005,0.0830911870238769,0.0301004116410302
2015-07-31,0.201917397991576,0.0282169220081097,0.0148031875671584,0.0960709371956532,0.0179738171650043
2015-08-31,-0.0117644790896952,-0.0549953670955088,-0.0945819076471348,-0.0487181889159294,-0.0646433523294947
2015-09-30,-0.0158997714963467,-0.00670348782677443,0.00169928893707505,0.00525535919512876,-0.0488294810646095
2015-10-30,0.168288464317285,0.0822713263566117,-0.117211325911809,0.134260368561355,0.061400459733308
2015-11-30,0.0447236401385609,0.00946554052457294,0.0279520198332184,0.0222612952518746,0.037820895788218
2015-12-31,0.021922775986392,0.0146185850515923,0.0505348624903499,0.00402939390344526,-0.00974820216084671
2016-01-29,-0.0209914076920312,0.0167448870980633,0.0825448437610372,0.072138184520304,-0.0928494060354529
2016-02-29,-0.0608115939451646,0.0146727041703012,-0.000301478545774891,-0.0471437016474833,-0.0537814394544741
2016-03-31,0.0676154483732254,0.0284194938758193,0.0400520393221793,0.0671531438996555,0.0518649211600599
2016-04-29,-0.0697229198572383,0.035859689155894,-0.0236534690619293,0.0304995025453623,0.075108176353933
2016-05-31,0.0616298601524639,0.0126210026537803,0.0662216227008019,0.0104609672155522,0.0327531872302445
2016-06-30,-0.0592888449998418,0.0764043180473784,0.0316473753688808,-0.0381280678380996,-0.0479545745801497
2016-07-29,0.110807554010134,0.0323989000280138,-0.000684409092451488,0.0845292082757665,0.0374636559171024
2016-08-31,-0.00226324527050081,-0.0406762476152915,-0.0142657590601277,0.0175890971946833,0.0551820121000228
2016-09-30,0.013349698323897,-0.0101391600995552,0.00951857900241282,0.0170473643124833,-0.0134816450350321
2016-10-31,0.00932754400500935,-0.0181154863915416,-0.0291180105835495,0.021205289794942,0.0476573366198865
2016-11-30,-0.0337779460997263,-0.0338037308558109,0.00585529604056911,-0.0959616516019552,0.157521756723688
2016-12-30,0.0181786030957869,0.0351302309340717,-0.011576155275713,-0.0284579284204078,0.0763381598566963
2017-01-31,0.0323520714961851,-0.0170124226680242,-0.0344329778733763,0.132724883125965,-0.0138111230518215
2017-02-28,0.0331579917018736,0.0862576628636278,0.0627813082762108,0.0400552009741404,0.0707788286970317
2017-03-31,0.00771379763491198,0.0191474885829588,0.0236850054415381,0.0480300384275625,-0.0306773175878415
2017-04-28,0.0920970206699374,-0.00867144840322975,0.043007603460987,0.0577262532814105,-0.00387203579917761
2017-05-31,0.0650138279215908,0.0456021470660088,0.0524877309777185,0.00805325486142783,-0.0557469516750188
2017-06-30,-0.0581741862706704,0.0315011878980334,-0.0371504813722601,-0.0031691893931528,0.112598740514535
2017-07-31,0.0239564813074882,0.00325026472473522,0.0569504766130091,0.121009418189205,0.00990089898945645
2017-08-31,0.00948952622952115,0.0037074095544225,-0.0178638543181631,0.016070871560028,-0.00991276025460996
2017-09-29,0.0210575382279066,-0.0178289893185871,0.000896731618004631,-0.00639652970620941,0.0508307921161839
2017-10-31,0.059982685935378,0.0723024264519196,0.117353403015896,0.0537835153102213,0.0595550545856396
2017-11-30,0.00469197154306444,0.00554619495151298,0.113618133418942,-0.015994596467322,0.0388625270124567
2017-12-29,0.0244661284733085,0.00279913297157264,0.020985683956747,-0.00406362383839098,0.0231538668378024
2018-01-31,0.118062018679278,-0.0109504836046349,0.0794935299861577,0.0591068814755789,0.0872688834251933
2018-02-28,-0.0557380157714699,-0.0541160143246598,-0.155628464101325,-0.0458558420700234,-0.00146969958651233
2018-03-29,-0.0660251016931475,-0.0133201811085144,-0.00566128385743458,-0.103914376598661,-0.0478784762105691
2018-04-30,-0.0140144848555237,-0.0129536119837484,-0.00573231299206323,0.0764129330591097,-0.00580496781937645
2018-05-31,0.0665074565918724,-0.0472988932329286,-0.0610445101572128,0.114999968779799,-0.0162718386594694
2018-06-29,0.0282582974123589,0.0143789496934899,0.0376787845401028,0.0132444058237497,-0.0262591597324121
2018-07-31,0.0910769111282494,0.0921381280977052,0.0417979020503709,-0.111877385076736,0.109162010701785
2018-08-31,0.000764020714067559,0.0231480465663074,0.080541992124348,0.0182524005660136,-0.00321865912619357
2018-09-28,-0.0202924153906767,0.0258369892562686,-0.0203419905224363,-0.064132312362573,-0.0151862080086181
2018-10-31,-0.097782042654026,0.0131720505457955,0.0678307492799008,-0.0770401201726315,-0.027087205337766
2018-11-30,0.016400909861698,0.0560432368913195,-0.0262264272198767,-0.0736544055380569,0.019904546510336
2018-12-31,-0.0537450477858615,-0.121511256293896,-0.0408774921395338,-0.067705146867794,-0.122043346539423
2019-01-31,0.0779831188782234,0.0312281926777886,0.0287709793211819,0.271569299501103,0.0688438244405112
2019-02-28,0.00317999734535768,0.0335604171281227,0.0329748976371347,-0.0314356949621302,0.00830913359231
2019-03-29,0.0476729729370091,0.0230533365387642,-0.00944772468647415,0.0324559709650885,-0.029992247131487
2019-04-30,0.0129292493093947,0.0100865344299708,0.0544446784267449,0.160237494422248,0.155171280651139
